Сталь;C;Si;Mn;Cr;Ni;Ti;Al;W;Mo;Nb;V;S;P;Cu;Co;Zr;Be;Se;N;Pb;Fe;Класс;Использование
03Н12Х5М3ТЮЛ;0,01 - 0,04;до 0,2;до 0,2;4,5 - 5;12 - 12,5;0,7 - 0,9;0,25 - 0,45;0;2,5 - 3;0;0;до 0,015;до 0,015;0;0;0;0;0;0;0;~81;Класс: Сталь для отливок обыкновенная;Использование в промышленности: высоконагруженные детали ответственного назначения со стенкой толщиной до 200 мм
08ГДНФЛ;до 0,1;0,15 - 0,4;0,6 - 1;до 0,3;1,15 - 1,55;0;0;0;0;0;0,06 - 0,15;до 0,035;до 0,035;0,8 - 1,2;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: лито-сварные и комбинированные  конструкции, ответственные детали, к которым предъявляются требования  высокой вязкости и достаточной прочности, работающие при температурах от  —60 до 350 °С.
08Х17Н34В5Т3Ю2Л;до 0,08;0,2 - 0,5;0,3 - 0,6;15 - 18;32 - 35;2,6 - 3,2;1,7 - 2,1;4,5 - 5,5;0;0;0;до 0,01;до 0,01;до 0,3;0;0;0;0;0;0;34,64 - 43,7;Класс: Сталь для отливок обыкновенная;Использование в промышленности: для деталей, жаростойких при температуре до 1000 град.С
110Г13Л;0,9 - 1,4;0,8 - 1;11,5 - 15;до 1;до 1;0;0;0;0;0;0;до 0,05;до 0,12;до 0,3;0;0;0;0;0;0;~83;Класс: Сталь для отливок обыкновенная;Использование в промышленности: корпуса вихревых и шаровых  мельниц, щеки и конуса дробилок, зубья и передние стенки ковшей  экскаваторов, железнодорожные крестовины и др. тяжелонагруженные детали,  работающие под действием статических и высоких динамических нагрузок и  от которых требуется высокая износостойкость.
120Г13Х2БЛ;1 - 1,4;0,3 - 1;11,5 - 14,5;1,5 - 2,5;до 1;0;0;0;0;0,08 - 0,1;0;до 0,05;до 0,1;до 0,3;0;0;0;0;0;0;~82;Класс: Сталь для отливок обыкновенная;Использование в промышленности: для деталей с высоким сопротивлением износу при одновременном воздействии высоких давлений или ударных нагрузок, от которых требуется высокая износостойкость.
12ДН2ФЛ;0,08 - 0,16;0,2 - 0,4;0,4 - 0,9;до 0,3;1,8 - 2,2;0;0;0;0;0;0,08 - 0,15;до 0,035;до 0,035;1,2 - 1,5;0;0;0;0;0;0;~96;Класс: Сталь для отливок обыкновенная;Использование в промышленности: лито-сварные и комбинированные  конструкции, ответственные нагруженные детали, к которым предъявляются  требования достаточной прочности и вязкости, работающие под действием  статических и динамических нагрузок при температуре до 400 °С.
12ДХН1МФЛ;0,1 - 0,18;0,2 - 0,4;0,3 - 0,55;1,2 - 1,7;1,4 - 1,8;0;0;0;0,2 - 0,3;0;0,08 - 0,15;до 0,03;до 0,03;0,4 - 0,65;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: сварные конструкции, ответственные нагруженные детали, к которым предъявляются требования прочности и достаточной вязкости, работающие под действием статических и динамических нагрузок
12Х7Г3СЛ;0,1 - 0,15;0,8 - 1,2;3 - 3,5;7 - 7,5;0;0;0;0;0;0;0;до 0,02;до 0,02;0;0;0;0;0;0;0;~88;Класс: Сталь для отливок обыкновенная;Использование в промышленности: ответственные высоконагруженные детали со стенкой толщиной до 100 мм, работающие в условиях статических и динамических нагрузок
13НДФТЛ;до 0,16;0,2 - 0,4;0,4 - 0,9;0,15 - 0,4;1,2 - 1,6;0,04 - 0,1;0;0;0;0;0,06 - 0,12;до 0,03;до 0,03;0,65 - 0,9;0;0;0;0;0;0;~98;Класс: Сталь для отливок обыкновенная;Использование в промышленности: различные детали для судостроения
13ХНДФТЛ;до 0,16;0,2 - 0,4;0,4 - 0,9;0,15 - 0,4;1,2 - 1,6;0,04 - 0,1;0;0;0;0;0,06 - 0,12;до 0,03;до 0,03;0,65 - 0,9;0;0;0;0;0;0;~98;Класс: Сталь для отливок обыкновенная;Использование в промышленности: сварные конструкции, ответственные нагруженные детали, к которым предъявляются требования достаточной прочности и вязкости, работающие под действием статических и динамических нагрузок при температуре до 500 град.
14Х2ГМРЛ;0,1 - 0,17;0,2 - 0,42;0,9 - 1,2;1,4 - 1,7;до 0,3;0;0;0;0,45 - 0,55;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: тяжелонагруженные литые и сварно-литые детали.
15ГЛ;0,12 - 0,18;0,3 - 0,6;0,7 - 1;0;0;0;0;0;0;0;0;до 0,04;до 0,04;0;0;0;0;0;0;0;~99;Класс: Сталь для отливок обыкновенная;Использование в промышленности: Нет данных о применении
15ГНЛ;0,12 - 0,2;0,2 - 0,4;0,8 - 1,4;до 0,3;0,8 - 1,2;0;0;0;0;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;~97;Класс: Сталь для отливок обыкновенная;Использование в промышленности: отливки, идущие на изготовление  деталей, производимых предприятиями тяжелого и транспортного  машиностроения и предназначенных для эксплуатации в условиях низких  температур и высоких скоростей нагружения.
